Comment,Designator,Footprint,LCSC Part #
GPS HEADERS,J4,PinHeader_1x04_P2.54mm_Vertical,
Micro_SD_Card,J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,
Antenna,AE1,Johanson_2450AT43F0100,
12k,R7,R_0402_1005Metric,
10k,"R1,R2,R3,R4,R10,R11",R_0402_1005Metric,
100n,"C1,C2,C4,C5,C7,C8,C9,C10",C_0402_1005Metric,
JST BATTERY CONNECTOR,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
2.7nH,L1,L_0402_1005Metric,
AMS REG,U3,SOT-223-3_TabPin2,
4.7k,"R8,R9",R_0402_1005Metric,
1p,"C19,C20",C_0402_1005Metric,
40MHz,Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,
5.1k,"R5,R6",R_0402_1005Metric,
1u,"C11,C12",C_0402_1005Metric,
10u,"C16,C17,C18",C_0805_2012Metric,
22u,C15,C_0805_2012Metric,
2.2n,C6,C_0402_1005Metric,
10p,"C13,C14",C_0402_1005Metric,
10n,C3,C_0402_1005Metric,
TP4056,U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,
USBC CHARGE PORT,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
POWER SWITCH,SW1,SW_SPDT_PCM12,
BMP280,U2,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,
ESP32-C3FH4,U4,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,
MPU-6050,U1,InvenSense_QFN-24_4x4mm_P0.5mm,
SERVO 5V BOOST,U6,SOT-23-6,
330,R12,R_0402_1005Metric,
2.2uH,L2,L_0402_1005Metric,
100k,R14,R_0402_1005Metric,
SERVO,J5,PinHeader_1x03_P2.54mm_Vertical,
100uF,C23,C_0805_2012Metric,
10uF,"C21,C22",C_0805_2012Metric,
Buzzer,BZ1,Buzzer_Mallory_AST1109MLTRQ,
LED,D1,LED_0402_1005Metric,
510k,R13,R_0402_1005Metric,
