Designator,Mid X,Mid Y,Layer,Rotation
AE1,147.0000,-82.6500,Top,90
BZ1,166.5000,-104.0000,Top,0
C1,151.0000,-80.5000,Top,0
C2,151.0200,-82.5000,Top,180
C3,150.5000,-88.0400,Top,90
C4,147.0000,-93.0000,Top,270
C5,148.5000,-93.4800,Top,90
C6,160.5000,-77.5000,Top,0
C7,151.5000,-88.0000,Top,90
C8,152.5000,-88.0200,Top,90
C9,149.5000,-88.0000,Top,90
C10,148.5000,-88.0000,Top,90
C11,157.0200,-82.0000,Top,0
C12,150.0200,-95.0000,Top,0
C13,162.0300,-94.9800,Top,270
C14,160.0600,-94.9800,Top,270
C15,154.0000,-79.5000,Top,90
C16,153.5000,-83.0500,Top,270
C17,143.5500,-90.0000,Top,0
C18,143.5500,-93.0000,Top,180
C19,165.0000,-95.0000,Top,270
C20,163.0300,-95.0000,Top,270
C21,164.8400,-110.7800,Top,0
C22,174.5000,-95.5000,Top,0
C23,174.5000,-98.5100,Top,0
D1,170.5150,-62.5000,Top,0
J1,175.9500,-75.8200,Top,90
J3,150.5000,-61.0000,Top,270
L1,157.0150,-81.0000,Top,0
L2,168.5200,-110.2700,Top,0
R1,154.4900,-93.0100,Top,270
R2,152.5000,-93.0100,Top,270
R3,165.5000,-93.0100,Top,90
R4,164.0000,-92.0000,Top,90
R5,168.0000,-91.0000,Top,270
R6,166.0100,-91.0000,Top,270
R7,171.0100,-87.0000,Top,0
R8,155.9900,-93.0200,Top,90
R9,157.9800,-93.0200,Top,90
R10,159.0000,-82.0100,Top,90
R11,162.5000,-78.0100,Top,90
R12,171.0000,-85.5000,Top,0
R13,171.0000,-82.5000,Top,0
R14,171.0000,-84.0000,Top,0
U1,166.0500,-83.2500,Top,0
U2,164.5250,-88.7000,Top,180
U3,157.8500,-73.0000,Top,0
U4,157.5000,-87.5000,Top,0
U5,146.0000,-73.0000,Top,0
U6,170.3625,-67.5500,Top,0
Y1,160.8000,-92.5000,Top,180
