"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"GPS HEADERS";;;
2;"J3";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card";;;
3;"AE1";"Johanson_2450AT43F0100";1;"Antenna";;;
4;"R7";"R_0402_1005Metric";1;"12k";;;
5;"R10,R1,R4,R2,R3,R11";"R_0402_1005Metric";6;"10k";;;
6;"C2,C10,C9,C4,C8,C1,C7,C5";"C_0402_1005Metric";8;"100n";;;
7;"J2";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"JST BATTERY CONNECTOR";;;
8;"L1";"L_0402_1005Metric";1;"2.7nH";;;
9;"U3";"SOT-223-3_TabPin2";1;"AMS REG";;;
10;"R8,R9";"R_0402_1005Metric";2;"4.7k";;;
11;"C19,C20";"C_0402_1005Metric";2;"1p";;;
12;"Y1";"Crystal_SMD_2012-2Pin_2.0x1.2mm";1;"40MHz";;;
13;"R6,R5";"R_0402_1005Metric";2;"5.1k";;;
14;"C11,C12";"C_0402_1005Metric";2;"1u";;;
15;"C16,C18,C17";"C_0805_2012Metric";3;"10u";;;
16;"C15";"C_0805_2012Metric";1;"22u";;;
17;"C6";"C_0402_1005Metric";1;"2.2n";;;
18;"C14,C13";"C_0402_1005Metric";2;"10p";;;
19;"C3";"C_0402_1005Metric";1;"10n";;;
20;"U5";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias";1;"TP4056-42-ESOP8";;;
21;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USBC CHARGE PORT";;;
22;"SW1";"SW_SPDT_PCM12";1;"POWER SWITCH";;;
23;"U2";"Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BMP280";;;
24;"U4";"QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm";1;"ESP32-C3FH4";;;
25;"U1";"InvenSense_QFN-24_4x4mm_P0.5mm";1;"MPU-6050";;;
26;"U6";"SOT-23-6";1;"SERVO 5V BOOST";;;
27;"R12";"R_0402_1005Metric";1;"330Ω";;;
28;"L2";"L_0402_1005Metric";1;"2.2uH";;;
29;"R14";"R_0402_1005Metric";1;"100k";;;
30;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO";;;
31;"C23";"C_0805_2012Metric";1;"100uF";;;
32;"C22,C21";"C_0805_2012Metric";2;"10uF";;;
33;"BZ1";"Buzzer_Mallory_AST1109MLTRQ";1;"Buzzer";;;
34;"D1";"LED_0402_1005Metric";1;"LED";;;
35;"R13";"R_0402_1005Metric";1;"510k";;;
